#Assembly	Number of transcriptome nt present in assembly	Percentage of transcriptome present in assembly	Number of CDSs present in assembly
A1	259776	92.89	117
B1	273085	97.65	148
B2	272799	97.55	144
C1	272354	97.39	145
C2	261163	93.39	96
D1	266285	95.22	125
D2	266355	95.25	125
D3	266236	95.2	126
D4	272473	97.44	145
E1	267846	95.78	132
E2	266512	95.3	128
E3	264708	94.66	127
F1	273695	97.87	151
F2	273695	97.87	151
F3	273695	97.87	151
F4	273695	97.87	151
F5	273695	97.87	151
G1	262216	93.77	105
H1	258568	92.46	93
H2	255552	91.38	83
H3	255552	91.38	83
H4	266120	95.16	120
H5	260790	93.26	104
I1	256140	91.59	130
I2	273440	97.78	150
J1	261657	93.57	99
K1	272469	97.43	147
K2	272398	97.41	146
K3	272398	97.41	146
L1	246866	88.28	112
M1	273267	97.72	147
M2	273267	97.72	147
M3	273511	97.81	149
M4	270204	96.62	137
M5	273511	97.81	149
N1	249501	89.22	89
N2	236451	84.55	66
N3	248496	88.86	85
O1	238860	85.42	88
P1	273425	97.78	149
Q1	272630	97.49	145
V1	231645	82.84	28
V2	231453	82.77	26
V3	231739	82.87	31
V4	271661	97.14	141
V5	270213	96.63	123
V6	266399	95.26	108
W1	269263	96.29	128
W10	270016	96.56	133
W11	268924	96.17	126
W3	267567	95.68	123
W5	268818	96.13	127
W6	267738	95.74	124
W7	268285	95.94	125
W8	269006	96.2	125
W9	269840	96.49	137
X1	273164	97.68	145
X2	273165	97.68	145
X3	272385	97.4	138
X4	272617	97.49	142
X5	272712	97.52	143
X6	272275	97.36	139
