#Assembly	Number of CDS with \ge 95\% coverage	Basepair level coverage over all genes
A1	83	68.46
B1	88	75.01
B2	97	86.90
C1	101	88.54
C2	77	88.51
D1	90	91.72
D2	92	91.77
D3	87	84.86
D4	64	58.59
E1	95	90.21
E2	95	90.21
E3	96	89.75
F1	79	65.41
F2	79	65.36
F3	81	69.39
F4	98	88.94
F5	99	88.43
G1	86	92.31
H1	70	88.09
H2	45	50.86
H3	65	87.40
H4	73	60.82
H5	63	57.03
I1	93	84.84
I2	102	89.13
J1	58	78.97
K1	102	92.84
K2	102	92.84
K3	102	92.84
L1	79	59.59
M1	98	87.87
M2	83	67.41
M3	96	88.06
M4	96	85.67
M5	85	73.99
N1	61	46.68
N2	52	42.89
N3	61	47.99
O1	60	48.92
P1	106	92.65
Q1	107	93.77
V1	0	0.8881
V2	0	0.8657
V3	0	0.8818
V4	74	84.76
V5	61	56.03
V6	43	45.97
W1	65	55.04
W10	60	52.85
W11	65	55.37
W3	59	52.92
W5	64	54.23
W6	61	52.55
W7	64	54.63
W8	64	55.32
W9	64	54.33
X1	62	56.53
X2	62	57.19
X3	31	46.13
X4	58	56.96
X5	58	56.91
X6	31	46.08
